timestamp,asset,action,exposure_from,exposure_to,price,regime,conviction,sub_strategy,fee_bps
2023-12-27,BNB,enter,0.0,0.6,324.1,aligned,0.75,momentum_gates,10.0
2023-12-28,BNB,exit,0.6,0.0,322.6,divergent,0.0,momentum_gates,10.0
2024-03-13,BNB,enter,0.0,0.6,630.5,aligned,0.75,momentum_gates,10.0
2024-03-14,BNB,exit,0.6,0.0,603.2,divergent,0.0,momentum_gates,10.0
2024-03-15,BNB,enter,0.0,0.6,632.7,aligned,0.75,momentum_gates,10.0
2024-03-16,BNB,exit,0.6,0.0,576.4,divergent,0.0,momentum_gates,10.0
2026-04-16,BNB,enter,0.0,0.6,635.77,aligned,0.75,momentum_gates,10.0
2026-04-18,BNB,exit,0.6,0.0,629.9,divergent,0.0,momentum_gates,10.0
2026-04-22,BNB,enter,0.0,0.6,637.47,aligned,0.75,momentum_gates,10.0
2026-04-23,BNB,exit,0.6,0.0,638.54,divergent,0.0,momentum_gates,10.0
2026-05-04,BNB,enter,0.0,0.6,622.63,aligned,0.75,momentum_gates,10.0
2026-05-08,BNB,exit,0.6,0.0,649.36,divergent,0.0,momentum_gates,10.0
2026-05-10,BNB,enter,0.0,0.6,663.55,aligned,0.75,momentum_gates,10.0
2026-05-14,BNB,exit,0.6,0.0,678.27,divergent,0.0,momentum_gates,10.0
2026-05-15,BNB,enter,0.0,0.6,672.38,aligned,0.75,momentum_gates,10.0
2026-05-16,BNB,exit,0.6,0.0,656.2,divergent,0.0,momentum_gates,10.0
2026-05-30,BNB,enter,0.0,0.6,718.74,aligned,0.75,momentum_gates,10.0
2026-06-02,BNB,exit,0.6,0.0,650.69,divergent,0.0,momentum_gates,10.0
