year,asset,metrics
2023,BNB,"{'total_return': -0.028, 'max_drawdown': -0.0977, 'sharpe_ratio': -0.473, 'calmar_ratio': -1.024, 'win_rate': 0.343, 'days_in_market_pct': 0.515, 'time_in_market': 0.205}"
2024,BNB,"{'total_return': 0.0643, 'max_drawdown': -0.2341, 'sharpe_ratio': 0.355, 'calmar_ratio': 0.208, 'win_rate': 0.392, 'days_in_market_pct': 0.393, 'time_in_market': 0.163}"
2025,BNB,"{'total_return': 0.0308, 'max_drawdown': -0.1224, 'sharpe_ratio': 0.246, 'calmar_ratio': 0.191, 'win_rate': 0.409, 'days_in_market_pct': 0.282, 'time_in_market': 0.113}"
2026,BNB,"{'total_return': -0.0603, 'max_drawdown': -0.0757, 'sharpe_ratio': -1.446, 'calmar_ratio': -1.469, 'win_rate': 0.424, 'days_in_market_pct': 0.248, 'time_in_market': 0.108}"
2023,CAKE,"{'total_return': 0.6166, 'max_drawdown': -0.1067, 'sharpe_ratio': 3.174, 'calmar_ratio': 46.216, 'win_rate': 0.512, 'days_in_market_pct': 0.603, 'time_in_market': 0.297}"
2024,CAKE,"{'total_return': 0.7602, 'max_drawdown': -0.1392, 'sharpe_ratio': 1.621, 'calmar_ratio': 3.866, 'win_rate': 0.438, 'days_in_market_pct': 0.387, 'time_in_market': 0.173}"
2025,CAKE,"{'total_return': 0.0353, 'max_drawdown': -0.2668, 'sharpe_ratio': 0.239, 'calmar_ratio': 0.101, 'win_rate': 0.346, 'days_in_market_pct': 0.324, 'time_in_market': 0.14}"
2026,CAKE,"{'total_return': -0.1248, 'max_drawdown': -0.1248, 'sharpe_ratio': -2.517, 'calmar_ratio': -1.788, 'win_rate': 0.214, 'days_in_market_pct': 0.211, 'time_in_market': 0.085}"
2023,TWT,"{'total_return': 0.1053, 'max_drawdown': -0.1535, 'sharpe_ratio': 1.175, 'calmar_ratio': 2.928, 'win_rate': 0.5, 'days_in_market_pct': 0.412, 'time_in_market': 0.184}"
2024,TWT,"{'total_return': -0.0754, 'max_drawdown': -0.3461, 'sharpe_ratio': -0.149, 'calmar_ratio': -0.167, 'win_rate': 0.388, 'days_in_market_pct': 0.366, 'time_in_market': 0.149}"
2025,TWT,"{'total_return': 0.0811, 'max_drawdown': -0.1947, 'sharpe_ratio': 0.365, 'calmar_ratio': 0.315, 'win_rate': 0.417, 'days_in_market_pct': 0.255, 'time_in_market': 0.11}"
2026,TWT,"{'total_return': -0.0188, 'max_drawdown': -0.0692, 'sharpe_ratio': -0.37, 'calmar_ratio': -0.511, 'win_rate': 0.286, 'days_in_market_pct': 0.211, 'time_in_market': 0.093}"
2023,BTC,"{'total_return': 0.0068, 'max_drawdown': -0.0304, 'sharpe_ratio': 0.35, 'calmar_ratio': 0.843, 'win_rate': 0.346, 'days_in_market_pct': 0.382, 'time_in_market': 0.141}"
2024,BTC,"{'total_return': 0.2734, 'max_drawdown': -0.1285, 'sharpe_ratio': 1.531, 'calmar_ratio': 1.572, 'win_rate': 0.405, 'days_in_market_pct': 0.366, 'time_in_market': 0.144}"
2025,BTC,"{'total_return': -0.0013, 'max_drawdown': -0.0612, 'sharpe_ratio': 0.021, 'calmar_ratio': -0.016, 'win_rate': 0.377, 'days_in_market_pct': 0.233, 'time_in_market': 0.087}"
2026,BTC,"{'total_return': -0.0502, 'max_drawdown': -0.0729, 'sharpe_ratio': -1.33, 'calmar_ratio': -1.275, 'win_rate': 0.333, 'days_in_market_pct': 0.248, 'time_in_market': 0.086}"
